price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,manufacturer
9400,2011.0,bmw x5,good,6.0,gas,145000.0,automatic,SUV,unknown,True,2018-06-23,19,bmw
25500,2011.0,ford f-150,good,6.0,gas,88705.0,automatic,pickup,white,True,2018-10-19,50,ford
5500,2013.0,hyundai sonata,like new,4.0,gas,110000.0,automatic,sedan,red,False,2019-02-07,79,hyundai
1500,2003.0,ford f-150,fair,8.0,gas,161397.0,automatic,pickup,unknown,False,2019-03-22,9,ford
14900,2017.0,chrysler 200,excellent,4.0,gas,80903.0,automatic,sedan,black,False,2019-04-02,28,chrysler
14990,2014.0,chrysler 300,excellent,6.0,gas,57954.0,automatic,sedan,black,True,2018-06-20,15,chrysler
12990,2015.0,toyota camry,excellent,4.0,gas,79212.0,automatic,sedan,white,False,2018-12-27,73,toyota
15990,2013.0,honda pilot,excellent,6.0,gas,109473.0,automatic,SUV,black,True,2019-01-07,68,honda
11500,2012.0,kia sorento,excellent,4.0,gas,104174.0,automatic,SUV,unknown,True,2018-07-16,19,kia
9200,2008.0,honda pilot,excellent,6.0,gas,147191.0,automatic,SUV,blue,True,2019-02-15,17,honda
19500,2011.0,chevrolet silverado 1500,excellent,8.0,gas,128413.0,automatic,pickup,black,True,2018-09-17,38,chevrolet
8990,2012.0,honda accord,excellent,4.0,gas,111142.0,automatic,sedan,grey,False,2019-03-28,29,honda
18990,2012.0,ram 1500,excellent,8.0,gas,140742.0,automatic,pickup,unknown,True,2019-04-02,37,ram
16500,2018.0,hyundai sonata,excellent,4.0,gas,22104.0,automatic,sedan,silver,False,2019-01-14,29,hyundai
12990,2009.0,gmc yukon,excellent,8.0,gas,132285.0,automatic,SUV,black,True,2019-01-31,24,gmc
17990,2013.0,ram 1500,excellent,8.0,gas,99840.0,automatic,pickup,red,True,2018-05-15,111,ram
14990,2010.0,ram 1500,excellent,8.0,gas,130725.0,automatic,pickup,red,True,2018-12-30,13,ram
13990,2014.0,jeep cherokee,excellent,6.0,gas,100669.0,automatic,SUV,red,True,2018-08-16,25,jeep
12500,2013.0,chevrolet traverse,excellent,6.0,gas,128325.0,automatic,SUV,white,True,2019-04-09,13,chevrolet
13990,2018.0,hyundai elantra,excellent,4.0,gas,31932.0,automatic,sedan,red,False,2018-08-25,27,hyundai
6990,2009.0,chevrolet tahoe,excellent,8.0,gas,147485.0,automatic,SUV,silver,True,2018-08-05,28,chevrolet
5250,2007.0,toyota rav4,good,6.0,gas,154000.0,automatic,SUV,unknown,False,2018-08-22,8,toyota
7500,2004.0,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,red,True,2019-01-05,64,chevrolet
7500,2004.0,jeep wrangler,good,6.0,gas,156640.0,automatic,SUV,red,True,2018-05-17,39,jeep
3950,2009.0,chrysler 200,excellent,4.0,gas,131565.0,automatic,sedan,red,False,2018-06-11,40,chrysler
11499,2017.0,chevrolet malibu,like new,4.0,gas,41000.0,automatic,sedan,unknown,False,2018-07-26,43,chevrolet
8499,2014.0,ford fusion se,like new,4.0,gas,79523.0,automatic,sedan,red,False,2018-10-25,23,ford
12999,2015.0,chevrolet impala,like new,6.0,gas,39368.0,automatic,sedan,custom,False,2018-05-19,42,chevrolet
29800,2012.0,chevrolet corvette,excellent,8.0,gas,57413.0,automatic,coupe,orange,False,2018-10-22,101,chevrolet
5495,2010.0,chevrolet impala,excellent,6.0,gas,127128.5,automatic,sedan,white,False,2019-02-18,20,chevrolet
